Anúncio	Nome da despesa	Ano_mês_ref	Valor despesa	Reserva
Andorinhas	IPTU	2025/06	R$ 247,10
Andorinhas	Energia elétrica	2025/06	R$ 41,82
Andorinhas	Internet Claro	2025/06	R$ 119,74
Ondomingos	Ar condicionado	2025/06	R$ 1.653,20
Ondomingos	Condomínio	2025/06	R$ 555,24
Andorinhas	Dízimo	2025/06	R$ 67,00
Ondomingos	Internet Claro	2025/06	R$ 132,08
Andorinhas	Condomínio	2025/06	R$ 703,16
Andorinhas	IPTU	2025/09	R$ 247,10
Andorinhas	IPTU	2025/07	R$ 247,10
Andorinhas	Energia elétrica	2025/07	R$ 37,08
Andorinhas	Internet Claro	2025/07	R$ 132,08
Ondomingos	Ar condicionado	2025/07	R$ 1.653,20
Ondomingos	Condomínio	2025/07	R$ 491,73
Andorinhas	Condomínio	2025/07	R$ 768,26
Andorinhas	IPTU	2025/08	R$ 247,10
Andorinhas	Energia elétrica	2025/08	R$ 73,88
Andorinhas	Internet Claro	2025/08	R$ 132,08
Ondomingos	Condomínio	2025/08	R$ 550,62
Ondomingos	Energia elétrica	2025/08	R$ 78,90
Ondomingos	Manutenção/Reforma	2025/08	R$ 19.100,00
Ondomingos	Manutenção/Reforma	2025/08	R$ 24.319,40
Andorinhas	Condomínio	2025/08	R$ 703,16
Andorinhas	Energia elétrica	2025/09	R$ 0,00
Andorinhas	Internet Claro	2025/09	R$ 132,08
Ondomingos	Condomínio	2025/09	R$ 545,62
Andorinhas	Manutenção/Reforma	2025/09	R$ 300,00
Ondomingos	Energia elétrica	2025/09	R$ 44,50
Andorinhas	Dízimo	2025/09	R$ 97,00
Ondomingos	Manutenção/Reforma	2025/09	R$ 1.638,12
Andorinhas	Condomínio	2025/09	R$ 703,16
Ondomingos	Condomínio	2025/10	R$ 498,45
Andorinhas	Condomínio	2025/10	R$ 703,16
Andorinhas	Internet Claro	2025/10	R$ 132,08
Andorinhas	Energia elétrica	2025/10	R$ 141,29
Andorinhas	IPTU	2025/10	R$ 247,10
Andorinhas	Dízimo	2025/10	R$ 530,00
Ondomingos	Taxa Enxoval	2025/10	R$ 160,00
Ondomingos	Internet Claro	2025/10	R$ 74,90
Andorinhas	Comissão Corretor	2025/10	R$ 1.500,00
Ondomingos	Energia elétrica	2025/10	R$ 56,88
Andorinhas	Manutenção/Reforma	2025/10	R$ 350,00
Ondomingos	Condomínio	2025/11	R$ 575,05
Andorinhas	Condomínio	2025/11	R$ 703,16
Ondomingos	Taxa Enxoval	2025/11	R$ 160,00
Andorinhas	Manutenção/Reforma	2025/11	R$ 350,00
Andorinhas	Dízimo	2025/11	R$ 592,00
Andorinhas	Internet Claro	2025/11	R$ 132,08
Andorinhas	Energia elétrica	2025/11	R$ 310,73
Andorinhas	Energia elétrica	2025/11	R$ 444,66
Andorinhas	Energia elétrica	2025/11	R$ 178,95
Andorinhas	IPTU	2025/11	R$ 247,10
Ondomingos	Internet Claro	2025/11	R$ 60,30
Ondomingos	Internet Claro	2025/11	R$ 48,32
Andorinhas	Manutenção/Reforma	2025/11	R$ 510,00
Ondomingos	Condomínio	2025/11	R$ 575,05
Andorinhas	Dízimo	2025/11	R$ 400,00
Andorinhas	Condomínio	2025/12	R$ 703,16
Ondomingos	Condomínio	2025/12	R$ 509,23
Andorinhas	Dízimo	2025/12	R$ 438,00
Ondomingos	Taxa Enxoval	2025/12	R$ 160,00
Andorinhas	Internet Claro	2025/12	R$ 132,08
Andorinhas	IPTU	2025/12	R$ 247,10
Andorinhas	Energia elétrica	2025/12	R$ 136,73
Andorinhas	Condomínio	2026/01	R$ 703,16
Andorinhas	Manutenção/Reforma	2026/01	R$ 599,70
Andorinhas	Internet Claro	2026/01	R$ 132,08
Andorinhas	Energia elétrica	2026/01	R$ 410,85
Ondomingos	Condomínio	2026/01	R$ 500,24
Andorinhas	IPTU	2026/01	R$ 259,74
Ondomingos	Internet Claro	2026/01	R$ 54,05
Andorinhas	Manutenção/Reforma	2026/01	R$ 300,00
Andorinhas	Internet Claro	2026/01	R$ 132,08
Ondomingos	Manutenção/Reforma	2026/01	R$ 44,50
Ondomingos	Manutenção/Reforma	2026/01	R$ 150,00
Ondomingos	Manutenção/Reforma	2026/01	R$ 78,90
Ondomingos	Manutenção/Reforma	2026/01	R$ 59,97
Ondomingos	Taxa Enxoval	2026/01	R$ 160,00
Andorinhas	IPTU	2026/02	R$ 259,64
Andorinhas	Energia elétrica	2026/02	R$ 627,70
Ondomingos	Internet Claro	2026/02	R$ 264,70
Ondomingos	Condomínio	2026/02	R$ 601,69
Ondomingos	Taxa Enxoval	2026/02	R$ 160,00
Ondomingos	manutenção/Reforma	2026/02	R$ 120,00
Ondomingos	Condomínio	2026/03	R$ 549,87
Andorinhas	Internet Claro	2026/03	R$ 132,08
Andorinhas	Condomínio	2026/03	R$ 738,28
Andorinhas	Dízimo 	2026/03	R$ 2.085,00
Andorinhas	IPTU	2026/03	R$ 259,64
Andorinhas	Elektro	2026/03	R$ 494,07
